title;url;price
Acer Aspire 5 A517-52-52U6;https://www.coolblue.nl/en/product/872282/acer-aspire-5-a517-52-52u6.html;"<strong class=""sales-price__current js-sales-price-current"">699,-</strong>"
HP Pavilion x360 14-dy0905nd;https://www.coolblue.nl/en/product/877673/hp-pavilion-x360-14-dy0905nd.html;"<strong class=""sales-price__current js-sales-price-current"">679,-</strong>"
HP Pavilion 15-eg1900nd;https://www.coolblue.nl/en/product/897883/hp-pavilion-15-eg1900nd.html;"<strong class=""sales-price__current js-sales-price-current"">1.129,-</strong>"
HP 17-cp0936nd;https://www.coolblue.nl/en/product/890656/hp-17-cp0936nd.html;"<strong class=""sales-price__current js-sales-price-current"">549,-</strong>"
HP VICTUS 16-e0306nd;https://www.coolblue.nl/en/product/897735/hp-victus-16-e0306nd.html;"<strong class=""sales-price__current js-sales-price-current"">999,-</strong>"
Apple MacBook Air (2020) 16GB/256GB Apple M1 with 7-core GPU Gold;https://www.coolblue.nl/en/product/874173/apple-macbook-air-2020-16gb-256gb-apple-m1-with-7-core-gpu-gold.html;"<strong class=""sales-price__current js-sales-price-current"">1.339,-</strong>"
HP 17-cn0970nd;https://www.coolblue.nl/en/product/878104/hp-17-cn0970nd.html;"<strong class=""sales-price__current js-sales-price-current"">899,-</strong>"
Lenovo Legion 5 17IMH05H 81Y800A8MH;https://www.coolblue.nl/en/product/882866/lenovo-legion-5-17imh05h-81y800a8mh.html;"<strong class=""sales-price__current js-sales-price-current"">1.369,-</strong>"
;https://www.coolblue.nlhttps://www.coolblue.nl/en/c/app.html;
Acer Chromebook Spin 311 CP311-2H-C3DE;https://www.coolblue.nl/en/product/853049/acer-chromebook-spin-311-cp311-2h-c3de.html;"<strong class=""sales-price__current js-sales-price-current"">249,-</strong>"
Samsung Galaxy Book2 Pro 360 15 NP950QED-KA1NL;https://www.coolblue.nl/en/product/901777/samsung-galaxy-book2-pro-360-15-np950qed-ka1nl.html;"<strong class=""sales-price__current js-sales-price-current"">1.599,-</strong>"
;https://www.coolblue.nlhttps://www.coolblue.nl/en/c/app.html;
Apple MacBook Pro 14 inches (2021) M1 Max (10-core CPU/32-core GPU) 64GB/2TB Space Gray;https://www.coolblue.nl/en/product/894417/apple-macbook-pro-14-inches-2021-m1-max-10-core-cpu-32-core-gpu-64gb-2tb-space-gray.html;"<strong class=""sales-price__current js-sales-price-current"">4.499,-</strong>"
